,ibns_20u,vgs_m1,name,type,time,OK
0,20.255380000000002,0.6852778,tran_SchGtKttmmTtVt_29,Sch,Wed Jan 22 22:12:07 2025,True
1,19.86001,0.6832056,tran_SchGtKttmmTtVt_28,Sch,Wed Jan 22 22:12:06 2025,True
2,22.77566,0.6901905,tran_SchGtKttmmTtVt_27,Sch,Wed Jan 22 22:12:06 2025,True
3,20.89259,0.6883224,tran_SchGtKttmmTtVt_26,Sch,Wed Jan 22 22:12:06 2025,True
4,20.21095,0.6868226,tran_SchGtKttmmTtVt_25,Sch,Wed Jan 22 22:12:06 2025,True
5,19.62411,0.6811431,tran_SchGtKttmmTtVt_24,Sch,Wed Jan 22 22:12:06 2025,True
6,20.21893,0.686159,tran_SchGtKttmmTtVt_23,Sch,Wed Jan 22 22:12:06 2025,True
7,18.861140000000002,0.6840166,tran_SchGtKttmmTtVt_22,Sch,Wed Jan 22 22:12:06 2025,True
8,20.72748,0.6878582,tran_SchGtKttmmTtVt_21,Sch,Wed Jan 22 22:12:05 2025,True
9,20.782249999999998,0.6875439,tran_SchGtKttmmTtVt_20,Sch,Wed Jan 22 22:12:05 2025,True
10,21.81624,0.6880682,tran_SchGtKttmmTtVt_19,Sch,Wed Jan 22 22:12:05 2025,True
11,18.39274,0.6802686,tran_SchGtKttmmTtVt_18,Sch,Wed Jan 22 22:12:05 2025,True
12,20.61731,0.6871745,tran_SchGtKttmmTtVt_17,Sch,Wed Jan 22 22:12:05 2025,True
13,20.0127,0.6839796,tran_SchGtKttmmTtVt_16,Sch,Wed Jan 22 22:12:05 2025,True
14,20.46719,0.6852852,tran_SchGtKttmmTtVt_15,Sch,Wed Jan 22 22:12:04 2025,True
15,19.04568,0.6831923,tran_SchGtKttmmTtVt_14,Sch,Wed Jan 22 22:12:04 2025,True
16,19.72072,0.6826199,tran_SchGtKttmmTtVt_13,Sch,Wed Jan 22 22:12:04 2025,True
17,20.02611,0.6851215,tran_SchGtKttmmTtVt_12,Sch,Wed Jan 22 22:12:04 2025,True
18,21.75147,0.6890152,tran_SchGtKttmmTtVt_11,Sch,Wed Jan 22 22:12:04 2025,True
19,22.360239999999997,0.6906888,tran_SchGtKttmmTtVt_10,Sch,Wed Jan 22 22:12:04 2025,True
20,18.924899999999997,0.6797952,tran_SchGtKttmmTtVt_9,Sch,Wed Jan 22 22:12:04 2025,True
21,21.32791,0.6866272,tran_SchGtKttmmTtVt_8,Sch,Wed Jan 22 22:12:03 2025,True
22,19.89502,0.682796,tran_SchGtKttmmTtVt_7,Sch,Wed Jan 22 22:12:03 2025,True
23,22.16134,0.6904144,tran_SchGtKttmmTtVt_6,Sch,Wed Jan 22 22:12:03 2025,True
24,20.99609,0.6879038,tran_SchGtKttmmTtVt_5,Sch,Wed Jan 22 22:12:03 2025,True
25,21.49662,0.688516,tran_SchGtKttmmTtVt_4,Sch,Wed Jan 22 22:12:03 2025,True
26,19.91263,0.6842027,tran_SchGtKttmmTtVt_3,Sch,Wed Jan 22 22:12:03 2025,True
27,20.90459,0.6881294,tran_SchGtKttmmTtVt_2,Sch,Wed Jan 22 22:12:03 2025,True
28,19.14966,0.6823058,tran_SchGtKttmmTtVt_1,Sch,Wed Jan 22 22:12:02 2025,True
29,20.281689999999998,0.6857061,tran_SchGtKttmmTtVt,Sch,Wed Jan 22 22:12:02 2025,True
